ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,InvestmentType,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_cur,amountAwarded,amountAwarded_cur,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC609,Forminster v. Czech Republic,2014,2014,Czech Republic,Cyprus,Forminster,department store,UNCITRAL,Cyprus-Czech Republic BIT,Discontinued (for unknown reasons or reasons other than settlement),29000000,USD,NA,NA,Paolo Michele Patocchi,Yes,Martin Hunter,Yes,August REINISCH,Yes,,iareporter
UNC610,Financial Performance Holdings v. Russia,2014,,Russia,Netherlands,Financial Performance Holdings,oil and gas,UNCITRAL,Energy Charter Treaty,Pending,,,NA,NA,Stanimir A. ALEXANDROV,Yes,David Haigh,Yes,Raul Vinuesa,Yes,Claim filed by former management of Yukos,iareporter
UNC611,Luxtona Limited v. Russia,2014,,Russia,Luxembourg,Luxtona Limited,oil and gas,UNCITRAL,Energy Charter Treaty,Pending,,,NA,NA,John R. CROOK,Yes,Luca Radicati di Brozolo,Yes,Rodrigo OREAMUNO,Yes,Claim filed by former management of Yukos,iareporter
UNC612,Yukos Capital SARL v. Russia,2014,,Russia,Cyprus,Yukos Capital SARL,oil and gas,UNCITRAL,Energy Charter Treaty,Pending,,,NA,NA,Campbell Alan McLACHLAN,Yes,J. William ROWLEY,Yes,Brigitte STERN,Yes,Claim filed by former management of Yukos,iareporter
UNC613,PL Holdings v. Poland,2014,,Poland,Luxembourg,PL Holdings,banking,SCC,Luxembourg-Poland BIT,Pending,530000000,USD,NA,NA,,,,,,,,iareporter
UNC614,Griffin Group v. Poland,2014,,Poland,Luxembourg,Griffin Group,Property development,SCC,Luxembourg-Poland BIT,Pending,,,NA,NA,Gabrielle KAUFMANN-KOHLER,Yes,David A.R. WILLIAMS,Yes,Philippe SANDS,Yes,,iareporter
UNC615,Geir and Kristian Almas v. Poland,2014,,Poland,Norway,Geir and Kristian Almas,land development,,Norway-Poland BIT,Pending,20000000,USD,NA,NA,,,,,,,,iareporter
UNC616,Flemingo Duty Free Pvt Ltd v. Poland,2014,,Poland,India,Flemingo Duty Free Pvt Ltd,Renovation project,,India-Poland BIT,Pending,,,NA,NA,,,,,,,,iareporter
UNC617,Lemna v. Poland,2014,,Poland,USA,Lemna,wastewater treatment,,USA-Poland BIT,Pending,,,NA,NA,,,,,,,,iareporter
UNC618,Seventhsun Holding and others v. Poland,2014,,Poland,Cyprus,Seventhsun Holding and others,Steel works,SCC,Cyprus-Poland BIT,Pending,,,NA,NA,Kaj Hober,,Piotr Nowaczyk,,Jernej SEKOLEC,,,iareporter
UNC619,Unknown Dutch investor v. Poland,2014,,Poland,Netherlands,DU,DU,,Netherlands-Poland BIT,Pending,,,NA,NA,,,,,,,,iareporter
UNC620,Unknown Cypriotic investor v. Poland,2014,,Poland,Cyprus,DU,DU,,DU,Pending,,,NA,NA,,,,,,,,iareporter
UNC621,Three Austrian investors v. Poland,2014,,Poland,Austria,DU,Property development,,Austria-Poland BIT,Pending,,,NA,NA,,,,,,,,iareporter
UNC622,Enkev Beheer v. Poland,2012,2014,Poland,Netherlands,Enkev Beheer,factory,,Netherlands-Poland BIT,In favour of the State,,,NA,NA,V. V. Veeder,Yes,Albert Jan VAN DEN BERG,Yes,Klaus Sachs,Yes,,iareporter
UNC623,Bryn Services Ltdv. Latvia,2013,2014,Latvia,Switzerland,Bryn Services Ltd,banking,,Switzerland-Latvia BIT,Settled,,,DU,DU,David Caron,Yes,David Roney,Yes,J. Christopher Thomas,Yes,,iareporter
UNC624,R.S.E. Holdings AG v. Latvia,2014,,Latvia,Switzerland,R.S.E. Holdings AG,banking,,Switzerland-Latvia BIT,Pending,,,NA,NA,Inka Hanefeld,Yes,Franco Ferrari,Yes,Anna Joubin-Bret,Yes,,iareporter
UNC625,Indrek Kuivallikv. Latvia,2014,,Latvia,Estonia,Indrek Kuivallik,wind energy,UNCITRAL,Latvian-Estonian BIT,,51000000,USD,NA,NA,,,Tomas Vaher,,,,,iareporter
UNC626,WNC Factoring Ltd v. Czech Republic,2014,,Czech Republic,United Kingdom,WNC Factoring Ltd,engineering company,UNCITRAL,Czech Republic-UK BIT,Pending,,,NA,NA,Gavan GRIFFITH,Yes,Robert VOLTERRA,Yes,James Crawford,Yes,,iareporter
UNC627,Iurii Bogdanov vs. Moldova (SCC 2012/162) (V),2012,2014,Moldova,Russia,Iurii Bogdanov,paint factory,SCC,Moldova-Russia BIT,In favour of the State,,,NA,NA,Christer Șderlund,Yes,,,,,,iareporter
UNC628,Peter A. Allard v. Barbados (PCA Case No. 2012-06),2012,,Barbados,Canada,Peter A. Allard,ecotourism,UNCITRAL,Barbados-Canada BIT,Pending,,,NA,NA,Gavan GRIFFITH,Yes,Michael Reisman,DU,Andrew Newcombe,DU,,iareporter
UNC629,Sana Consulting v. Russia,2012,2015,Russia,Germany,Sana Consulting,DU,UNCITRAL,Russia-Germany BIT,In favour of the State,30000000,USD,NA,NA,DU,,DU,,DU,,,iareporter