ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator2,Arbitrato3,description,SOURCE,TYPE
UNC599,2011,$550 million,550000000,CEAC Holdings Ltd v. Montenegro,CEAC Holdings Ltd,Cyprus,Montenegro,"
",,Ad hoc (UNCITRAL),Hilmar Räschke-Kessler; Rolf Trittmann; Peter Mailänder,Hilmar Räschke-Kessler,Rolf Trittmann,Peter Mailänder,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC516,2011,$4 billion,4000000000,World Wide Minerals Ltd. v. Kazatomprom and Kazakhstan,World Wide Minerals Ltd.,Canada,Kazakhstan,Ogilvy Renault,McGuireWoods;Shearman & Sterling,Ad hoc (UNCITRAL),Stanimir Alexandrov,Stanimir Alexandrov,,,"In the mid-1990s the Canadian mining company World Wide Minerals invested in a Kazakh uranium mine. WWM claims, however, that it did not receive promised export licenses and other rights under its agreements with the Kazakh state. WWM litigated against Kazakhstan and Kazatomprom for years in the USA courts, before finally opting for arbitration. WWM initially brought claims against both Kazakhstan and Kazatomprom, alleging breach of both contract and the Kazakh investment statute. After several months of discussions, WWM elected to go forward against Kazakhstan. Kazakhstan denied the claims, challenged them as untimely, and argued that the claimant lacked jurisdiction under the foreign investment law. The arbitrator dismissed WWM’s claims as untimely in December 2010","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC450,2011,$2 billion,2000000000,Renée Rose Levy de Levi v. Peru,Renée Rose Levy de Levi,France,Peru,Estudio Paitan & Asociados,Sidley Austin,ICSID,Rodrigo Oreamuno; Bernard Hanotiau; Joaquin Morales Godoy,Rodrigo Oreamuno,Bernard Hanotiau,Joaquin Morales Godoy,"Renée Rose Levy, who claims to have been the majority shareholder in the liquidated Peruvian bank, Banco del Nuevo Mundo, alleges breaches of the France-Peru bilateral investment treaty. Peru contests the claim.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC448,2011,$1 billion,1000000000,Fraport AG and Frankfurt Airport Services Worldwide v. the Philippines,Fraport AG,Germany,Philippines,"Milbank, Tweed, Hadley & McCloy;K&L Gates",Agnes Devanadera;White & Case;Justice Florentino Feliciano (ret.);Sycip Salazar Hernandez & Gatmaitan,ICSID,L.Yves Fortier; Bernardo Cremades; Michael Reisman; Peter Tomka; Dominique Hascher; Campbell McLachlan,L.Yves Fortier,Bernardo Cremades,"Michael Reisman; Peter Tomka; Dominique Hascher; Campbell McLachlan
","Frankfurt airport’s Fraport invested more than $425 million in the construction of a new terminal at Manila’s Ninoy Aquino International Airport. Following construction of the terminal, Fraport alleges that the Philippines nullified the contracts and seized the terminal in violation of its investment treaty. In August 2007 a divided panel declined jurisdiction over the case on the grounds that Fraport had violated Philippine “antidummy” law, which prohibits Filipinos from letting foreigners manage a public utility. However, in December 2010 ICSID annulled the arbitral award, because the original tribunal had denied the parties opportunity to comment fully on the significance of a new authority that the respondent had submitted late in the arbitration—namely, a Philippine special prosecutor’s determination that there had been no violation of Philippine law, and part of the record on which it was based. Fraport submitted a new request to ICSID in March 2011","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC437,2011,$150 million,150000000,Club Hotel Loutraki S.A. and Casinos Austria International Holding GmbH v. The Serbia,Club Hotel Loutraki S.A.,Greece,Serbia,"Arnold & Porter;Miliosm Papaioannou Elrftheriou, Karageorgou & Partners",,ICSID,Horacio Grigera Naon,Horacio Grigera Naon,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC423,2011,$1 billion,1000000000,Detroit International Bridge Company v. The Government of Canada,Detroit International Bridge Company,USA,Canada,Debevoise & Plimpton,The Government of Canada,NAFTA,,,,,"A dispute over the Ambassador Bridge, a toll crossing between Detroit and Windsor, Ontario, that is ultimately owned by a private American company. Allegations center on Canada’s decision not to upgrade the access road to the Ambassador Bridge, and Canada’s construction of a new highway designed to divert traffic to a new planned crossing that it will partly own. The claimant argues, over Canada’s objection, that these actions violated investment protections contained in the North American Free Trade Agreement","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC420,2011,$800 million,800000000,The Renco Group v. Peru,The Renco Group,USA,Peru,King & Spalding,,Ad hoc (UNCITRAL),NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC402,2011,$285 million,285000000,TECO Guatemala Holdings LLC v. Guatemala,TECO Guatemala Holdings LLC,USA,Guatemala,White & Case,Freshfields Bruckhaus Deringer,ICSID,William Park; Rodrigo Oreamuno Blanco,William Park,Rodrigo Oreamuno Blanco,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC401,2011,$150 million,150000000,Metal-Tech Ltd. v. Uzbekistan,Metal-Tech Ltd.,Israel,Uzbekistan,Covington & Burling,White & Case,ICSID,John Townsend; Gabrielle Kaufmann-Kohler; Claus von Wobesey,John Townsend,Gabrielle Kaufmann-Kohler,Claus von Wobesey,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC399,2011,$150 million,150000000,Rurelec plc and Guaracachi America Inc v. Plurinational State of Bolivia,Rurelec plc,USA,Bolivia,Guevara & Gutierrez;Freshfields Bruckhaus Deringer,,Ad hoc (UNCITRAL),NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC396,2011,$500 million,500000000,RSM Production Corporation v. Government of Grenada,RSM Production Corporation,USA,Government of Grenada,In-house,Freshfields Bruckhaus Deringer,ICSID,William Rowley; Edward Nottingham; Pierre Tercier,William Rowley,Edward Nottingham,Pierre Tercier,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC394,2011,$500 million,500000000,"Universal Compression International Holdings, S.L.U. (Spain [ownership of investment through Venezuelan companies]) v. Venezuela","Universal Compression International Holdings, S.L.U.",Spain,Venezuela,King & Spalding,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,J. William Rowley; Brigitte Stern; Guido Santiago Tawil,J. William Rowley,Brigitte Stern,Guido Santiago Tawil,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC388,2011,$275.1 million,275000000,Kilic Insaat Ithalat Ihracat Sanayi Ve Ticaret Anonim Sirketi v. Turkmenistan,Kilic Insaat Ithalat Ihracat Sanayi Ve Ticaret Anonim Sirketi,Turkey,Turkmenistan,Latham & Watkins,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Philippe Sands; Martin Hunter,Philippe Sands,Martin Hunter,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC387,2011,$1 billion,1000000000,Pan American Energy LLC v. Plurinational State of Bolivia,Pan American Energy LLC,Argentina,Bolivia,Freshfields Bruckhaus Deringer,Attorney General of Argentina,ICSID,,,,,"Pan American opted for arbitration under the USA–Bolivia BIT after Bolivia nationalized a 51 percent stake in Pan American subsidiary Empresa Petrolera Chaco SA, a hydrocarbon exploration and production company. Pan American insists that Bolivia’s compensation offer does not reflect the full-market value of the assets, which Bolivia contests","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC382,2011,$500 million,500000000,Standard Chartered Bank v. United Tanzania,Standard Chartered Bank,United Kingdom,Tanzania,Herbert Smith,Mkono & Co;Hunton & Williams,ICSID,William Park; Barton Legum; Michael Pryles,William Park,Barton Legum,Michael Pryles,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC381,2011,$1.5 billion,1500000000,"Anatolie Stati, Gabriel Stati, Ascom Group S.A., and Tera RAF Trans Trading Ltd. v. Kazakhstan",Anatolie Stati,Moldova,Kazakhstan,King & Spalding,"Curtis, Mallet-Prevost, Colt & Mosle",Stockholm Chamber of Commerce,Karl-Heinz Böckstiegel; David Haigh; Sergei Lebedev,Karl-Heinz Böckstiegel,David Haigh,Sergei Lebedev,Claimants owned a pair of companies that held three contracts for the exploration or extraction of hydrocarbons in western Kazakhstan. They argue that the state violated the Energy Charter Treaty’s provisions on expropriation and fair and equitable treatment by canceling the contracts under false pretenses and handing the assets to state-owned KazMunaiGas. Kazakhstan denies the allegations. A hearing on the merits is scheduled for July 2012,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC379,2011,$250 million,250000000,Border Timbers Ltd and Others v. Zimbabwe,Border Timbers Ltd and Others,Switzerland,Zimbabwe,Wiley Rein; Steptoe & Johnson,Attorney General,ICSID,NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC378,2011,$350 million,350000000,Bernhard von Pezold & Others v. Zimbabwe,Bernhard von Pezold & Others,Germany/Switzerland,Zimbabwe,Wiley Rein,Attorney General,ICSID,L.Yves Fortier; David Williams; A. Peter Mutharika,L.Yves Fortier,David Williams,A. Peter Mutharika,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC376,2011,$500 million,500000000,Abitibibowater Inc. v. Government of Canada,Abitibibowater Inc.,USA,Canada,Arnold & Porter; Ogilvy Renault,"Trade Law Bureau, Foreign Affairs and International Trade Canada",Ad hoc (UNCITRAL),Andreas Bucher; Gavan Griffith; Doak Dishop,Andreas Bucher,Gavan Griffith,Doak Dishop,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC373,2011,$100 million,100000000,"M. Hassan Awdi, Entreprise Business Consultants, Inc., and Alfa El Corporation v. Romania",M. Hassan Awdi,USA,Romania,Bredin Prat;Mayer Brown,Lalive,ICSID,Hamid Gharavi; Rudolf Dolzer,Hamid Gharavi,Rudolf Dolzer,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC372,2011,$100 million,100000000,RSM Production Corporation v. Ecuador,RSM Production Corporation,USA,Ecuador,,"
",Ad hoc (UNCITRAL),NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC370,2011,$100 million,100000000,FTR Holding S.A. and Philip Morris Products S.A v. Oriental Uruguay,FTR Holding S.A.,Switzerland,Uruguay,Lalive & Associates;Sidley Austin,Foley Hoag,ICSID,NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC369,2011,$500 million,500000000,"China Heilong International Economic & Technical Cooperative Corp., Beijing Shougang Mining Investment Company Limited, and Qinhuangdaoshi Qinlong International Industrial Co. Ltd. v. Mongolia",China Heilong International Economic & Technical Cooperative Corp.,China,Mongolia,Freshfields Bruckhaus Deringer,"Milbank, Tweed, Hadley & McCloy",Permanent Court of Arbitration,Yas Banifatemi; Mark Clodfelter; Donald Donovan,Yas Banifatemi,Mark Clodfelter,Donald Donovan,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC365,2011,$100 million,100000000,EDF International v. Hungary,EDF International,France,Hungary,Shearman & Sterling,bnt Szabó Tom Burmeister Ügyvédi Iroda; Mannheimer Swartling,Ad hoc (UNCITRAL),Karl-Heinz Böckstiegel; Pierre-Marie Dupuy; Albert Jan van den Berg,Karl-Heinz Böckstiegel,Pierre-Marie Dupuy,Albert Jan van den Berg; Georges Abi-Saab,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC362,2011,$120 million,120000000,ECE Projektmanagement International GmbH v. The Czech Republic,ECE Projektmanagement International GmbH,Germany,Czech Republic,White & Case,"Squire, Sanders & Dempsey",Ad hoc (UNCITRAL),Franklin Berman; Andreas Bucher; J. Christopher Thomas,Franklin Berman,Andreas Bucher,J. Christopher Thomas,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC361,2011,$100 million,100000000,Swisslion DOO Skopje v. Macedonia,Swisslion DOO Skopje,Macedonia,Macedonia,Sidley Austin,Volterra Fietta;Latham & Watkins,ICSID,Gilbert Guillaume; Daniel Price; J. Christopher Thomas,Gilbert Guillaume,Daniel Price,J. Christopher Thomas,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC358,2011,$180 million,180000000,"European American Investment Bank, AG v. The Slovak Republic","European American Investment Bank, AG",Austria,Slovak Republic,Baier Bohm Rechtesanwalte; Bustamante & Bustamante; Freshfields Bruckhaus Deringer,Foley Hoag;David A. Pawlak,Ad hoc (UNCITRAL),Christopher Greenwood; Alexander Petsche; Brigitte Stern,Christopher Greenwood,Alexander Petsche,Brigitte Stern,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC357,2011,$500 million,500000000,Pacific Rim Cayman LLC v. El Salvador,Pacific Rim Cayman LLC,USA,El Salvador,"Crowell & Moring;Rusconi, Valdez, Medina & Asociados, Central-Law",Dewey & LeBoeuf,ICSID,V.V. Veeder; Brigitte Stern; Guido Santiago Tawil,V.V. Veeder,Brigitte Stern,Guido Santiago Tawil,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC355,2011,$145.4 million,145000000,The East Cement for Investment Company v. The Poland,The East Cement for Investment Company,Jordan,Poland,,Soltysinski Kawecki & Szlezak;David A. Pawlak,ICC,Ulf Franke; Piero Bernardini; Brigitte Stern,Ulf Franke,Piero Bernardini,Brigitte Stern,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC350,2011,Approximately $1 billion,1000000000,E.T.I. Euro Telecom International N.V. v. The Plurinational State of Bolivia,E.T.I. Euro Telecom International N.V.,Netherlands,Bolivia,Cleary Gottlieb Steen & Hamilton,Dechert,Ad hoc (UNCITRAL),Bruno Simma; Francisco Orrego Vicuna; Philippe Sands,Bruno Simma,Francisco Orrego Vicuna,Philippe Sands,"Telecom Italia’s Dutch subsidiary E.T.I. claimed that Bolivia violated Netherlands–Bolivia BIT when it seized E.T.I.’s 50 percent stake in the local telecom operator Entel Bolivia in 2008. In a November 2010 settlement, Bolivia agreed to pay $100 million in compensation","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC348,2011,$336 million,336000000,Iberdrola Energia SA v. Guatemala,Iberdrola Energia SA,Spain,Guatemala,Uria & Menendez,Freshfields Bruckhaus Deringer,ICSID,Eduardo Zuleta; Yves Derains; Rodrigo Oreamuno,Eduardo Zuleta,Yves Derains,Rodrigo Oreamuno,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC343,2011,$300 million,300000000,EVN AG v. Macedonia,EVN AG,Austria,Macedonia,Freshfields Bruckhaus Deringer,Volterra Fietta,ICSID,Piero Bernardini; Vaughan Lowe; Francisco Orrego Vicuna,Piero Bernardini,Vaughan Lowe,Francisco Orrego Vicuna,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC342,2011,$1.6 billion,1600000000,Chevron Corporation and Texaco Petroleum Company v. Ecuador,Chevron Corporation,USA,Ecuador,King & Spalding,Winston & Strawn;Spigthoff,Permanent Court of Arbitration (UNCITRAL),"Karl-Heinz Böckstiegel, Charles Brower; Albert Jan van den Berg","Karl-Heinz Böckstiegel, Charles Brower",Albert Jan van den Berg,,"Not to be confused with the more highly publicized fight over Chevron’s liability for environmental damage in Ecuador, this claim under the USA–Ecuador BIT relates to a series of commercial disputes that languished for many years in Ecuador’s courts. In the underlying suits, Texaco alleged that Ecuador violated their 1973 production contract by requiring the company to supply Ecuador with more oil than it needed internally, at below-market prices. In March 2010 arbitrators ruled that chronic delays in the Ecuadorian courts breached the treaty’s guarantee of an effective means of defense. The panel assessed damages of $698.6 million in favor of Chevron, but decreed that a separate phase of the arbitration will determine what portion of that amount is owed to Ecuadorian tax authorities.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC340,2011,$305 million,305000000,"Les Laboratoires Servier SAS, Biofarma SA, and Arts et Techniques du Progres SAS v. Poland","Les Laboratoires Servier SAS , and Arts et Techniques du Progres SAS",France,Poland,Salans,Allen & Overy,Permanent Court of Arbitration (Ad hoc/UNCITRAL),Bernard Hanotiau; Marc Lalonde; William Park,Bernard Hanotiau,Marc Lalonde,William Park,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC339,2011,$260 million,260000000,Consortium Oeconomismus v. Czech Government/Ministry of Finance,Consortium Oeconomismus,Switzerland,Czech Republic,,"Weil, Gotshal & Manges",ICC,Eduardo Silva Romero; Sabine Konrad,Eduardo Silva Romero,Sabine Konrad,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC337,2011,$3 billion,3000000000,"Maersk Olie, Algeriet A/S v. The People’s Democratic Algeria","Maersk Olie, Algeriet A/S",Denmark,Algeria,King & Spalding,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Gabrielle Kaufmann-Kohler; David Williams; Kamal Hossain,Gabrielle Kaufmann-Kohler,David Williams,Kamal Hossain,"A dispute under the Algeria-Denmark BIT, concerning the effect of Algeria’s new Tax on Exceptional Profits on a project in the Algerian petroleum industry. Maersk has filed a parallel commercial arbitration in conjunction with Anadarko Petroleum. A hearing on the merits is scheduled for November 2011","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC336,2011,$400 million,400000000,Teinver S.A. and others v. Argentine Republic,Teinver S.A. and others,Spain,Argentina,King & Spalding,Attorney General of Argentina,ICSID,Thomas Buergenthal; Henri Alvarez; Kamal Hossain,Thomas Buergenthal,Henri Alvarez,Kamal Hossain,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC335,2011,$200 million,200000000,"H&H Investment Entereprises, Inc. v. Arab Egypt","H&H Investment Entereprises, Inc.",USA,Egypt,Crowell & Moring,Hafez Law Firm,ICSID,Bernardo Cremades; Hamid G. Gharavi; Veiju Heiskanen,Bernardo Cremades,Hamid G. Gharavi,Veiju Heiskanen,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC334,2011,$2 billion,2000000000,Gold Reserve Inc. v. Venezuela,Gold Reserve Inc.,USA,Venezuela,White & Case,Foley Hoag,ICSID,David Williams; Piero Bernardini; Pierre-Marie Dupuy,David Williams,Piero Bernardini,Pierre-Marie Dupuy,"Canadian miner Gold Reserve complains that, following issuance of a construction permit for the Las Brisas project, one of the world’s largest undeveloped gold and copper mines, Venezuela improperly delayed the commencement of construction, revoked the construction permit, terminated the gold reserve’s concessions, and eventually took physical control of the mining property just days after Gold Reserve filed for arbitration in 2009. Venezuela denies the allegations.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC330,2011,$2 billion,2000000000,"Vattenfall AB, Vattenfall Europe AG, and Vattenfall Europe Generation AG & Co. KG v. Federal Germany",Vattenfall AB,Sweden,Germany,Luther Rechtsanwaltsgesellschaft;Mannheimer Swartling,K&L Gates,ICSID,Marc Lalonde; Franklin Berman; Gabrielle Kaufmann-Kohler,Marc Lalonde,Franklin Berman,Gabrielle Kaufmann-Kohler,"Vattenfall turned to arbitration under the Energy Charter Treaty after it clashed with local officials over construction delays and regulatory restrictions on a coal-fired power plant in Hamburg. In 2010 the parties agreed to settle the case, and the arbitration was discontinued in early 2011. The claim was the first under the E.C.T. against a Western European state.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC329,2011,$800 million,800000000,International Corporation for Railway Systems and Privatization Holding Company v. Hashemite Kingdom of Jordan,International Corporation for Railway Systems,Jordan,Jordan,Samdani & Qureshi,Winston & Strawn,ICSID,Patrick Robinson; Stanimir Alexandrov; Bernard Audit,Patrick Robinson,Stanimir Alexandrov,Bernard Audit,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC327,2011,More than $1 billion,1000000000,"Holcim Limited, Holderfin B.V., and Caricement B.V. v. The Venezuela",Holcim Limited,Switzerland,Venezuela,Debevoise & Plimpton,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,,,,,"The Swiss cement giant Holcim and its two Dutch subsidiaries brought an arbitration against Venezuela in 2009 to determine the level of compensation due Holcim after President Hugo Chavez’s 2008 nationalization of the cement industry. The case settled in September 2010, with Venezuela agreeing to pay Holcim $650 million in compensation. The case involved a complex valuation of Holcim Venezuela’s business, which included a forecast of pricing, currency devaluations, and country risk","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC326,2011,$250 million,250000000,Mohammad Ammar Al-Bahloul v. Tajikistan,Mohammad Ammar Al-Bahloul,Austria,Tajikistan,"
",,SCC,Richard Happ; Jeffrey Hertzfeld; Ivan Zykin,Richard Happ,Jeffrey Hertzfeld,Ivan Zykin,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC325,2011,$185 million,185000000,Murphy Exploration and Production Company International v. Ecuador,Murphy Exploration and Production Company International,USA,Ecuador,"King & Spalding; Perez, Bustamante & Ponce",Winston & Strawn;Foley Hoag,ICSID,Rodrigo Oreamuno; Horacio Grigera Naon; Raul Vinuesa,Rodrigo Oreamuno,Horacio Grigera Naon,Raul Vinuesa,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC324,2011,$100 million,100000000,Achmea B.V. (formerly Eureko B.V.) v. Slovak Republic,Achmea B.V. (formerly Eureko B.V.),Netherlands,Slovak Republic,De Brauw Blackstone Westhoek,Hogan Lovells;Rowan Legal,Ad hoc (UNCITRAL),Vaughan Lowe; Albert Jan van den Berg; V.V. Veeder,Vaughan Lowe,Albert Jan van den Berg,V.V. Veeder,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC323,2011,$200 million,200000000,Mercuria Energy Group Ltd. and Mercuria Energy Group Ltd. v. Poland,Mercuria Energy Group Ltd.,Cyprus,Poland,Shearman & Sterling,Polish State Treasury Solicitor's Office;Clifford Chance,SCC,Pierre Tercier; Albert Jan van den Berg; Vaughan Lowe,Pierre Tercier,Albert Jan van den Berg,Vaughan Lowe,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC319,2011,$1.1 billion,1100000000,HICEE B.V. v. The Slovak Republic,HICEE B.V.,Netherlands,Slovak Republic,Sidley Austin,"Skadden, Arps, Slate, Meagher & Flom",Permanent Court of Arbitration/UNCITRAL Rules,Franklin Berman; Peter Tomka; Charles Brower,Franklin Berman,Peter Tomka,Charles Brower,"When the Slovak government reversed a series of World Bank–sponsored health care reforms initiated by a previous administration, foreign investors cried foul. HICEE, a Dutch insurer, is one of three claimants (the others being Eureko and EURAM) to file separate claims alleging that their stakes in Slovak insurance companies were wiped out when the government passed a law mandating that insurance must be provided on a not-for-profit basis. Slovakia contests the claims. Jurisdictional hearings were held in July 2010","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC318,2011,$1 billion,1000000000,Perenco Ecuador Limited v. Ecuador and Empresa Estatal Petroleos del Ecuador,Perenco Ecuador Limited,Bahamas,Ecuador,Debevoise & Plimpton;Covington & Burling,"Dechert, Procurador General del Estado Ingeniero Derlis Palacios – Ministro de Minas y Petroleos;Director Nacional de Patrocinio Internacional Procuraduria General del Estado;Empressa Estatal Petroleos del Ecuador (PetroEcuador);Presidente Ejecutivo",ICSID,Peter Tomka; Christopher Thomas; Neil Kaplan,Peter Tomka,Christopher Thomas,Neil Kaplan,"One of several claims challenging Ecuador’s 2006 imposition of a windfall tax on energy producers. Perenco, a subsidiary of France’s Perenco S.A., complains that the levy breaches the France–Ecuador BIT, as well as stabilization commitments made in production sharing agreements. Ecuador disputes the claim. The case has been slowed by the resignation of one arbitrator due to ill health, and another after a disqualification challenge. Jurisdictional hearings were held in November of 2010 in The Hague","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC317,2011,$160.2 million,160000000,InterTrade Holding GmbH v. Czech Republic,InterTrade Holding GmbH,Germany,Czech Republic,Python & Peter,"Noerr;Squire, Sanders & Dempsey",Ad hoc (UNCITRAL),L. Yves Fortier; Henri Alvarez; Brigitte Stern,L. Yves Fortier,Henri Alvarez,Brigitte Stern,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC313,2011,$105 million,105000000,Alapl? Elektrik B.V. v. Turkey,Alapl? Elektrik B.V.,Netherlands,Turkey,Volterra Fietta; Latham & Watkins,Sidley Austin,ICSID,William Park; Marc Lalonde; Brigitte Stern,William Park,Marc Lalonde,Brigitte Stern,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC311,2011,$1.3 billion (including counterclaim of up to $500 million),1300000000,"Burlington Resources Inc., Burlington Resources Oriente Ltd., Burlington Resources Andean Ltd., and Burlington Resources Ecuador Ltd v. Ecuador",Burlington Resources Inc.,USA,Ecuador,Freshfields Bruckhaus Deringer,Dechert; Attorney General of Ecuador,ICSID,Gabrielle Kaufmann-Kohler; Francisco Orrego Vicuña; Brigitte Stern,Gabrielle Kaufmann-Kohler,Francisco Orrego Vicuña,Brigitte Stern,"Burlington is one of several energy companies to challenge Ecuador’s Law No. 42, a windfall levy slapped on “excess energy profits.” Ecuador defends the law’s legality. In June 2010 arbitrators asserted jurisdiction over certain claims, while declining to hear others because the USA–Ecuador BIT applies only in limited ways to “tax” measures by a state","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
