ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator2,Arbitrato3,description,SOURCE,TYPE
UNC219,2011,$11 billion,11000000000,Libananco Holdings Co. Limited v. Turkey,Libananco Holdings Co. Limited,Cyprus,Turkey,Crowell & Moring,Freshfields Bruckhaus Deringer;Cosar AvUnited Kingdomatlik Burosu,ICSID,Michael Hwang; Henri Alvarez; Frank Berman,Michael Hwang,Henri Alvarez,Frank Berman,"A claim under the Energy Charter Treaty for expropriation of the majority stake Libananco allegedly held in two utilities that operated 11 Turkish dams and power plants, previously controlled by the Uzan clan. In 2003 Turkey canceled the concessions and seized the facilities of the two companies, CUnited Kingdomurova Elektrik Anonim Sirketi and Kepez Elektrik Turk Anonim Sirketi. Claimant ascribes to Turkey improper political motives. Turkey suspects Libananco of ties to the Uzans, and questions its status as a foreign investor. The decision on jurisdiction was pending when this survey was conducted.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC213,2011,$103.6 billion,103600000000,"Hulley Enterprises, Ltd. v. Russian Federation; Yukos Universal Limited v. Russian Federation; Veteran Petroleum Limited v. Russian Federation","Hulley Enterprises, Ltd.",Cyprus,Russia,Shearman & Sterling,Cleary Gottlieb Steen & Hamilton,Permanent Court of Arbitration (Ad hoc/UNCITRAL),L. Yves Fortier; Stephen Schwebel; Charles Poncet,L. Yves Fortier,Stephen Schwebel,Charles Poncet,"Largest reported arbitration ever. A trio of cases brought against Russia by the majority shareholders of the defunct Yukos Oil Company. Affiliated with Group Menatep Ltd., claimants argue that Russia drove Yukos into bankruptcy through allegedly inflated tax claims in a vendetta against former CEO Mikhail Khodorkovsky. In its defense, Russia has argued that its courts properly adjudicated genuine tax offenses. Citing unfair treatment and expropriation in violation of the Energy Charter Treaty, claimants seek roughly $85 billion for Hulley, $15 billion for Veteran, and $4 billion for Yukos Universal. On November 30, 2009, the tribunal, operating under the supervision of the Permanent Court of Arbitration, asserted jurisdiction [“A Lifetime of Litigation,” Summer 2010]. A few preliminary issues have been left for the merits phase, including the ECT’s tax carve-outs and Russia’s allegation that Yukos’s criminal wrongdoing bars its claim. A merits hearing is scheduled for late 2012.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC211,2011,$1.1 billion,1100000000,"Empresa Eléctrica del Ecuador, Inc. v. Ecuador","Empresa Eléctrica del Ecuador, Inc.",EMELEC,Ecuador,Office of Henry St. Dahl; Provost & Umphrey,Cabezas & Wray; Latham & Watkins,ICSID,Bernardo Sepulveda Amor; John Rooney; W. Michael Reisman,Bernardo Sepulveda Amor,John Rooney,W. Michael Reisman,"A private electrical utility, EMELEC alleges that the Ecuadorian military seized its electricity-generating facilities in Guayaqil in March 2000, after its former owner, Ecuadorian businessman Fernando Aspiazu, was charged with banking irregularities. Ecuador prevailed in 2009 when arbitrators held that the claimant could not prove that they were owned by USA business interests, thus precluding jurisdiction under the USA–Ecuador BIT","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC210,2011,$600 million,600000000,The Bank of Nova Scotia v. Argentine Republic,The Bank of Nova Scotia,Canada,Argentina,Freshfields Bruckhaus Deringer;McCarthy Tetrault,Attorney General of Argentina,Ad hoc (UNCITRAL),Charles Brower; Alain Pellet,Charles Brower,Alain Pellet,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC207,2011,$133 million,133000000,"Waguih Siag, Clorinda Vecchi, et al. v. Arab Egypt","Waguih Siag , et al.",Egypt,Egypt,King & Spalding,Baker & McKenzie,ICSID,Stephen Schwebel; Azzedine Kettani; Peter Tomka,Stephen Schwebel,Azzedine Kettani,Peter Tomka,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC205,2011,$100 million,100000000,"Cargill, Inc. v. United Mexican States","Cargill, Inc.",USA,Mexico,Mayer Brown; Graf von Westphalen,Hogan Lovells; IKRP Rokas & Partners,ICSID,Michael Pryles; David Caron; Donald McRae,Michael Pryles,David Caron,Donald McRae,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC198,2011,$1.4 billion,1400000000,Mittal Steel Company N.V. v. Czech Republic,Mittal Steel Company N.V.,Luxembourg,Czech Republic,Cleary Gottlieb Steen & Hamilton,,Ad hoc (UNCITRAL),Johan Steyn; Piero Bernardini; Christopher Greenwood,Johan Steyn,Piero Bernardini,Christopher Greenwood,"BIT claim for discriminatory treatment in connection with the privatization of Vitkovice Steel, which Mittal sought and failed to acquire in 2005. The case settled in May 2009, with the Czech government agreeing to sell its 11 percent stake in ArcelorMittal’s Czech subsidiary to ArcelorMittal","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC187,2011,$119 million,119000000,Walter Bau AG v. Kingdom of Thailand,Walter Bau AG,Germany,Thailand,Hogan Lovells,White & Case,Ad hoc (UNCITRAL),Ian Barker; Marc Lalonde; Jayavadh Bunnag,Ian Barker,Marc Lalonde,Jayavadh Bunnag,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC185,2011,$280 million,280000000,RosInvestCo United Kingdom Ltd v. Russian Federation,RosInvestCo United Kingdom Ltd,United Kingdom,Russia,Hughes Hubbard & Reed;Essex Court Chambers;Mannheimer Swartling,Cleary Gottlieb Steen & Hamilton,Stockholm Chamber of Commerce,Lord Steyn; Karl-Heinz Böckstiegel; Franklin Berman,Lord Steyn,Karl-Heinz Böckstiegel,Franklin Berman,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC184,2011,$563.7 million,563000000,Daimler Financial Services AG v. Argentine Republic,Daimler Financial Services AG,Germany,Argentina,Kelley Drye & Warren,Attorney General of Argentina,ICSID,Pierre-Marie Dupuy; Domingo Bello Janeiro; Charles Brower,Pierre-Marie Dupuy,Domingo Bello Janeiro,Charles Brower,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC181,2011,$1 billion,1000000000,"Ioan Micula, S.C. European Food S.A., S.C. Starmill S.R.L., S.C. Multipack S.R.L., and Viorel Micula v. Romania","Ioan Micula, S.C. European Food S.A.",Sweden,Romania,King & Spalding;Shearman & Sterling,Freshfields Bruckhaus Deringer,ICSID,Laurent Levy; Stanimir Alexandrov; Georges Abi-Saab,Laurent Levy,Stanimir Alexandrov,Georges Abi-Saab,"Two individuals and three food and beverage companies from Sweden allege that Romania improperly withdrew certain government incentives and tax benefits in disadvantaged areas of the country. Romania contends, among other things, that these steps were taken as part of the E.U. accession process. Hearings on the merits were held in Paris in November 2010","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC175,2011,$143.9 million,143000000,International v. Argentine Republic,International,France,Argentina,Shearman & Sterling,Attorney General of Argentina,ICSID,Juan Fernández Armesto; Bernard Hanotiau; Christian Tomuschat,Juan Fernández Armesto,Bernard Hanotiau,Christian Tomuschat,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC174,2011,$1.2 billion,1200000000,Vannessa Ventures Ltd. v. Venezuela,Vannessa Ventures Ltd.,Canada,Venezuela,Essex Chambers;Torys,Arnold & Porter;Foley Hoag,ICSID,Robert Briner; Charles Brower; Brigitte Stern,Robert Briner,Charles Brower,Brigitte Stern,"This Canada–Venezuela BIT case concerns Vannessa’s alleged acquisition of gold and copper mining rights in Venezuela from Placer Dome Inc. for $50 and future royalties. In August 2008 an ICSID tribunal dismissed three of Venezuela’s jurisdictional objections, and ruled that a fourth objection will need to be examined in more detail at a later phase of the proceedings. In early 2011 a second company, Crystallex, filed an ICSID claim against Venezuela, professing to be the rightful owner of the concession claimed by Vannessa.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC173,2011,More than $1 billion,1000000000,ABCI Investments N.V. v. Tunisia,ABCI Investments N.V.,Jordan,Tunisia,Patrick Juillard,Herbert Smith,ICSID,Francisco Orrego Vicuña; Piero Bernardini; Brigitte Stern,Francisco Orrego Vicuña,Piero Bernardini,Brigitte Stern,"ICSID proceedings brought by a foreign investor concerning the alleged expropriation of its interest in a Tunisian bank. The dispute involves claims under a BIT and domestic international investment law. In February 2011, a divided tribunal upheld jurisdiction over claims","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC167,2011,$300 million,300000000,Corn Products International v. Government of Mexico,Corn Products International,USA,Mexico,Steptoe & Johnson,Pillsbury Winthrop Shaw Pittman; Thomas & Partners,ICSID Additional Facility,Christopher Greenwood; Andreas Lowenfeld; Jesus Serrano de la Vega,Christopher Greenwood,Andreas Lowenfeld,Jesus Serrano de la Vega,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC157,2011,$100 million,100000000,"Gemplus, S.A. and Gemplus Industrial, S.A. de C.V. v. The United Mexican States and Talsud, S.A.","Gemplus, S.A.",France,Mexico/Argentina,Baker & McKenzie,Thomas & Partners;Pillsbury Winthrop,ICSID,V.V. Veeder; L. Yves Fortier; Eduardo Magallón Gómez,V.V. Veeder,L. Yves Fortier,Eduardo Magallón Gómez,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC155,2011,$1.29 billion,1290000000,Total S.A. v. Argentine Republic,Total S.A.,France,Argentina,Abeledo Gottheil Abogados;Freshfields Bruckhaus Deringer,Attorney General of Argentina,ICSID,Giorgio Sacerdoti; Luis Herrera Marcano; Henri Alvarez,Giorgio Sacerdoti,Luis Herrera Marcano,Henri Alvarez,"In one of the largest claims to arise out of the Argentine financial crisis, Total is claiming losses related to three business ventures: oil exploration and production, gas transportation, and electricity generation. In late 2010 an award on liability upheld a number of Total’s claims. The damages phase is ongoing","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC141,2011,$340 million,340000000,"Grand River Enterprises Six Nations, Ltd., et al. v. United States of America","Grand River Enterprises Six Nations, Ltd., et al.",Canada,USA,Windels Marx Lane & Mittendorf;Law Offices of Leonard Violi;Crowell & Moring,"Assistant Legal Adviser, USA Department of State",ICSID,Fali Nariman; James Anaya; John Crook,Fali Nariman,James Anaya,John Crook,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC139,2011,$200 million,200000000,Mobil Exploration and Development Argentina Inc. v. Argentine Republic,Mobil Exploration and Development Argentina Inc.,USA,Argentina,"King & Spalding; Perez Alati, Grondona, Benites, Arntsen & Martinez de Hoz, Jr.","Attorney General of Argentina;Martin, Lubitz & Hymann",ICSID,Gustaf Moller; Piero Bernardini; Antonio Remiro Brotons,Gustaf Moller,Piero Bernardini,Antonio Remiro Brotons,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC129,2011,$200 million,200000000,El Paso Energy Co. v. Argentine Republic,El Paso Energy Co.,USA,Argentina,"King & Spalding; Perez Alati, Grondona, Benites, Arntsen & Martinez de Hoz, Jr.",Attorney General of Argentina,ICSID,Lucius Caflisch; Piero Bernardini; Brigitte Stern,Lucius Caflisch,Piero Bernardini,Brigitte Stern,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC127,2011,$2.8 billion,2800000000,Telefonica S.A. v. The Argentine Republic,Telefonica S.A.,Spain,Argentina,M. & M. Bomchil,Attorney General of Argentina,ICSID,Giorgio Sacerdoti; Eduardo Siqueiros Twomey; Charles Brower,Giorgio Sacerdoti,Eduardo Siqueiros Twomey,Charles Brower,"Telefonica complained that Argentina’s response to the peso crisis of 2001–02 led to an expropriation of its investment in Argentina’s telecommunications sector. Following a favorable jurisdictional ruling for Telefonica in 2006, the parties initiated talks regarding tariff rates and future investments. The arbitration was finally settled in August 2009.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC126,2011,$257 million,257000000,"EDF International, S.A., SAUR International S.A., and León Participaciones Argentinas S.A. v. Argentine Republic","EDF International, S.A. , and León Participaciones Argentinas S.A.",France,Argentina,"Arnold & Porter;Rattagan, Macchiavello, Arocena & Peña",Attorney General of Argentina,ICSID,William Park; Gabrielle Kaufmann-Kohler; Jesús Remón,William Park,Gabrielle Kaufmann-Kohler,Jesús Remón,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC124,2011,$18 billion,18000000000,Eureko B.V. v. Poland,Eureko B.V.,Netherlands,Poland,White & Case;NautaDutilh,Hogan & Hartson,Ad hoc,Stephen Schwebel; Jerzey Rajski; L.Yves Fortier,Stephen Schwebel,Jerzey Rajski,L.Yves Fortier,"A dispute arising from the privatization of Poland’s largest insurer, PZU S.A. Arbitration was initiated in 2003 by the Dutch insurer Eureko B.V., which was frustrated by Poland’s refusal to bring PZU public, or to let Eureko acquire control. Eureko, which was PZU’s largest private shareholder, claimed that it was entitled to acquire control over PZU under a 1999 share purchase agreement and a 2001 addendum. In August 2005 the tribunal held Poland liable for violating the “umbrella clause” of its investment treaty with Netherlands, as well as its provisions on fair and equitable treatment and expropriation. The case settled in autumn 2009, before the arbitrators could rule on damages. The settlement cleared the way for PZU to go public in April 2010 and for Eureko to sell its stake to financial investors in November for $1.4 billion.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC122,2011,$100 million,100000000,Anglian Water Group Ltd v. Argentine Republic,Anglian Water Group Ltd,United Kingdom,Argentina,Freshfields Bruckhaus Deringer,Attorney General of Argentina,Ad hoc (UNCITRAL),Jeswald Salacuse; Gabrielle Kaufmann-Kohler; Pedro Nikken,Jeswald Salacuse,Gabrielle Kaufmann-Kohler,Pedro Nikken,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC121,2011,$1.2 billion,1200000000,"Suez SA, Sociedad General de Aguas de Barcelona, S.A., and Vivendi SA v. Argentine Republic",Suez SA,France,Argentina,Freshfields Bruckhaus Deringer,Attorney General of Argentina,ICSID,Jeswald Salacuse; Gabrielle Kaufmann-Kohler; Pedro Nikken,Jeswald Salacuse,Gabrielle Kaufmann-Kohler,Pedro Nikken,"In a verdict handed down in the summer of 2010, Argentina was held liable for breaching treaty protections owed to a cluster of foreign investors in a Buenos Aires water and sewage concession (Aguas Argentinas SA). Arbitrators are now hearing arguments on damages","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC120,2011,$800 million,800000000,"Suez SA, Sociedad General de Aguas de Barcelona, and Interagua Servicios Integrales del Agua, S.A. v. Argentine Republic",Suez SA,France,Argentina,Freshfields Bruckhaus Deringer,Attorney General of Argentina,ICSID,Jeswald Salacuse; Gabrielle Kaufmann-Kohler; Pedro Nikken,Jeswald Salacuse,Gabrielle Kaufmann-Kohler,Pedro Nikken,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC115,2011,$100 million,100000000,Azurix Corp. v. Argentine Republic,Azurix Corp.,USA,Argentina,King & Spalding,Attorney General of Argentina,ICSID,Gustaf Moller; Bernard Hanotiau; Donald McRae,Gustaf Moller,Bernard Hanotiau,Donald McRae,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC110,2011,$1.3 billion,1300000000,"Grupo Enersis S.A., Chilectra S.A., Empresa Nacional de Electricidad S.A., and Elesur S.A. v. Argentine Republic",Grupo Enersis S.A.,Chile,Argentina,"Jones Day;Pérez Alati, Grondona, Benites, Arntsen & Martínez de Hoz, Jr.",Attorney General of Argentina,ICSID,Roberto MacLean; Luis Herrera Marcano,Roberto MacLean,Luis Herrera Marcano,,"A BIT dispute in the power sector, arising out of the Argentine financial crisis, based on Enersis’s stakes in the Argentine companies EDESUR and Distrilec Inversora S.A. EDESUR signed a renegotiation agreement in 2005, and the parties to the ICSID arbitration requested a temporary stay of the proceedings in 2006 to explore settlement of their claims. The case has been inactive since that time, as the parties continue to talk","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC108,2011,$254 million,254000000,BG Group Plc and BG Group Plc v. Argentine Republic,BG Group Plc,United Kingdom,Argentina,Marval O'Farrell & Mairal,Attorney General of Argentina,Ad hoc (UNCITRAL),Guillermo Aguilar-Alvarez; Albert Jan van den Berg; Alejandro M Garro,Guillermo Aguilar-Alvarez,Albert Jan van den Berg,Alejandro M Garro,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC105,2011,$1.2 billion,1200000000,Electricidad Argentina S.A. and EDF International S.A. v. Argentine Republic,Electricidad Argentina S.A.,Argentina,Argentina,Arnold & Porter,Attorney General of Argentina,ICSID,William Park; Gabrielle Kaufmann-Kohler,William Park,Gabrielle Kaufmann-Kohler,,This BIT claim involving an electricity concession in the Buenos Aires area has been suspended since our last Arbitration Scorecard in 2009 while renegotiation of the underlying concession contract continues. The dispute has its origins in the financial crisis early in the last decade,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC099,2011,$700 million,700000000,Bayindir Insaat Turizm Ticaret Ve Sanayi A.S. v. Islamic Pakistan,Bayindir Insaat Turizm Ticaret Ve Sanayi A.S.,Turkey,Pakistan,Sidley Austin,Eversheds,ICSID,Gabrielle Kaufmann-Kohler; Franklin Berman; Karl-Heinz Böckstiegel,Gabrielle Kaufmann-Kohler,Franklin Berman,Karl-Heinz Böckstiegel,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC097,2011,$100 million,100000000,"Ahmonseto, Inc., Aida Talebagha, Hala Talebagha, Badie Talebagha, and E&D Industrial California Overseas v. Arab Egypt","Ahmonseto, Inc.",USA,Egypt,Shearman & Sterling,Bredin Prat,ICSID,Pierre Tercier; Ibrahim Fadlallah; Alain Viandier,Pierre Tercier,Ibrahim Fadlallah,Alain Viandier,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC088,2011,$200 million,200000000,Sempra Energy International v. Argentine Republic,Sempra Energy International,USA,Argentina,King & Spalding,Attorney General of Argentina,ICSID,NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC079,2011,$100 million,100000000,Chemtura Corporation v. Canada,Chemtura Corporation,USA,Canada,Ogilvy Renault,"Trade Law Bureau, Foreign Affairs & International Trade Canada, Department of Justice",Ad hoc,Gabrielle Kaufmann-Kohler; James Crawford; Charles Brower,Gabrielle Kaufmann-Kohler,James Crawford,Charles Brower,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC077,2011,$218 million,218000000,Siemens A.G. v. Argentine Republic,Siemens A.G.,Germany,Argentina,M. & M. Bomchil,Attorney General of Argentina,ICSID,Andrés Rigo Sureda; Domingo Bello Janeiro; Charles Brower,Andrés Rigo Sureda,Domingo Bello Janeiro,Charles Brower,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC071,2011,$150 million,150000000,"Enron Creditors Recovery Corporation, Ponderosa Assets, Enron Creditors Recover Corp, and Ponderosa Assets, L.P. v. Argentine Republic",Enron Creditors Recovery Corporation,USA,Argentina,King & Spalding;M&M Bomchil,Attorney General of Argentina,ICSID,NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC061,2011,$185 million,185000000,Azurix Corp. v. Argentine Republic,Azurix Corp.,USA,Argentina,M&M Bomchil; King & Spalding,Attorney General of Argentina,ICSID,Gavan Griffith; Bola Ajibola; Michael Hwang ,Gavan Griffith,Bola Ajibola,Michael Hwang,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC028,2011,$100 million,100000000,Joseph C. Lemire v. United Kingdom,Joseph C. Lemire,USA,United Kingdom,Derains & Gharavi,White & Case,ICSID,Juan Fernandez-Armesto; Jan Paulsson; Jurgen Voss,Juan Fernandez-Armesto,Jan Paulsson,Jurgen Voss,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC022,2011,$797 million,797000000,Victor Pey Casado and President Allende Foundation v. Chile,Victor Pey Casado,Spain,Chile,BuckleySandler;Garcés y Prada Abogados;Gide Loyrette Nouel,"Arnold & Porter;In-house counsel, Ministry of Economy, Development and Tourism of the Chile;Carey y Cia",ICSID,Pierre Lalive; Mohammed Chemloul; Emmanuel Gaillard,Pierre Lalive,Mohammed Chemloul,Emmanuel Gaillard,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT001,2011,$1.5 billion,1500000000,"Karachaganak Petroleum Operating BV, BG Group plc, Eni S.p.A., Chevron Corporation, and Neftyanaya kompaniya LUnited KingdomOIL OAO v. Kazakhstan",Karachaganak Petroleum Operating BV,Netherlands,Kazakhstan,Freshfields Bruckhaus Deringer,"Curtis, Mallet-Prevost, Colt & Mosle",Ad hoc (UNCITRAL),,,,,"This consortium of British, Russian, Italian, USA, and Dutch companies complains that Kazakhstan is upending the stability of the legislative and administrative regimes within which the consortium operates a major energy concession. The government seeks a stake in the concession, the only major energy project in which the Kazakh state lacks a shareholding","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT002,2011,Over $2.1 billion,2100000000,World Motor Investments Holding S.A. and Auto-Kredyt Holding S.A. v. Poland,World Motor Investments Holding S.A.,Luxembourg,Poland,Bogdan Fijalkowski,K&L Gates,Stockholm Chamber of Commerce,LUnited Kingdomasz Szatko; Maksymilian Pazdan,LUnited Kingdomasz Szatko,Maksymilian Pazdan,,"The claimants filed, and then promptly withdrew, this arbitration claim following preliminary objections from Poland. The dispute dates back to 2000, when Polish banking authorities declared a commercial bank to be insolvent.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT003,2011,$100 million,100000000,Air BP Limited v. Plurinational State of Bolivia,Air BP Limited,United Kingdom,Bolivia,Moreno Baldivieso; Freshfields Bruckhaus Deringer,,Ad hoc (UNCITRAL),Guido Santiago Tawil,Guido Santiago Tawil,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT004,2011,$100 million,100000000,Antoine Abou Lahoud and Leila Bounafeh-Abou Lahoud v. Democratic the Congo,Antoine Abou Lahoud,Lebanon,Congo,Derains & Gharavi,Patrick Bondonga-Lesanbo,ICSID,William Park; Karim Hafez; Andre Ngwe,William Park,Karim Hafez,Andre Ngwe,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT005,2011,$1 billion,1000000000,Centerra Gold Inc. v. Kyrgyzstan Republic,Centerra Gold Inc.,Canada,Kyrgyzstan,Sullivan & Cromwell,Allen & Overy,Permanent Court of Arbitration (UNCITRAL),Albert Jan van den Berg,Albert Jan van den Berg,,,"Centerra alleged violation of investment protections under the governing agreements and laws of the Kyrgyz Republic, where it operates a gold mine, the country’s largest industrial project. Following preliminary briefing by the parties in 2008, the parties undertook to resolve their dispute through direct negotiations. Settled confidentially in June 2009","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT006,2011,More than $1 billion,1000000000,Corporación Quiport S.A. and Others v. Ecuador,Corporación Quiport S.A. and Others,Ecuador,Ecuador,White & Case,Attorney General of Ecuador,ICSID,,,,,Claimants are a consortium of multinational investors in connection with a complex dispute involving the construction of the new Quito international airport in Ecuador pursuant to a 30-year concession. The dispute has involved myriad proceedings under contracts and treaties. In early 2011 a settlement of the ICSID claim was announced by the parties,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT007,2011,More than $1 billion,1000000000,"International Quantum Resources Limited, Frontier SPRL, and Compagnie Minière de Sakania SPRL v. Democratic the Congo",International Quantum Resources Limited,Congo,Congo,,,ICSID,,,,,"After Canada’s First Quantum Minerals brought an ICC arbitration against Congo over its giant Kolwezi copper project in February 2010, Congo halted operations of the Frontier and Lonshi copper mines operated by other Quantum entities near the border with Zambia. In this ICSID arbitration, brought in summer 2010, claimants allege that Congo’s actions were retaliatory, and violated the Congo Mining Code’s guarantee of secure investment. Claimants want their mining permits reinstated","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT008,2011,$132 million,132000000,Eastern Duty Free Ltd v. Romania,Eastern Duty Free,Services,Romania,Wolf Theiss Rechtsanwalte GmbH,White & Case,ICSID,Piero Bernardini; Yves Derains; Arthur Rovine,Piero Bernardini,Yves Derains,Arthur Rovine,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT009,2011,$250 million,250000000,Brandes Investment Partners LP v. Venezuela,Brandes Investment Partners LP,USA,Venezuela,"Milbank, Tweed, Hadley & McCloy","Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Rodrigo Oreamuno; Karl-Heinz Böckstiegel; Brigitte Stern,Rodrigo Oreamuno,Karl-Heinz Böckstiegel,Brigitte Stern,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT010,2011,$300 million,300000000,OPIC Karimun Corporation v. Venezuela,OPIC Karimun Corporation,Taiwan,Venezuela,K&L Gates,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Doug Jones; Philippe Sands; Guido Santiago Tawil,Doug Jones,Philippe Sands,Guido Santiago Tawil,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT011,2011,$400 million,400000000,"Inna Gudavadze, Liana Zhomotova, and Iya Patarkatsishvili v. Georgia",Inna Gudavadze,Georgia/Russia/Russia,Georgia,Hogan Lovells,White & Case,Ad hoc (UNCITRAL),William Park; Bernard Hanotiau; David Williams,William Park,Bernard Hanotiau,David Williams,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT012,2011,$400 million,400000000,Sabafon Group v. Yemen,Sabafon Group,Yemen,Yemen,Jamal Adimi;Freshfields Bruckhaus Deringer,Burnet Duckworth & Palmer,Ad hoc (UNCITRAL),Guillermo Aguilar-Alvarez; Bernard Hanotiau; Antonio de Fina,Guillermo Aguilar-Alvarez,Bernard Hanotiau,Antonio de Fina,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
NOT013,2011,$500 million,500000000,MCI Power Group v. Ecuador,MCI Power Group,USA,Ecuador,Appleton & Associates;Astigarraga Davis,Cabezas y Wray;Foley Hoag,ICSID,NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
